is:open label:{{param}},dev_discuss,issue_needs_triage,help wanted
2022-01-17,3,3,0
2022-01-16,3,3,0
2022-01-15,3,3,0
2022-01-14,3,3,0
2022-01-13,3,3,0
2022-01-12,3,3,0
2022-01-11,3,3,0
2022-01-10,3,3,0
2022-01-09,3,3,0
2022-01-08,3,3,0
2022-01-07,3,3,0
2022-01-06,3,3,0
2022-01-05,3,3,0
2022-01-04,3,3,0
2022-01-03,3,3,0
2022-01-02,3,3,0
2022-01-01,3,3,0
2021-12-31,3,3,0
2021-12-30,3,3,0
2021-12-29,3,3,0
2021-12-28,3,3,0
2021-12-27,3,3,0
2021-12-26,3,3,0
2021-12-25,3,3,0
2021-12-24,3,3,0
2021-12-23,3,3,0
2021-12-22,3,3,0
2021-12-21,3,3,0
2021-12-20,3,3,0
2021-12-19,3,3,0
2021-12-18,3,3,0
2021-12-17,3,3,0
2021-12-16,3,3,0
2021-12-15,3,3,0
2021-12-14,3,3,0
2021-12-13,3,3,0
2021-12-12,3,3,0
2021-12-11,3,3,0
2021-12-10,3,3,0
2021-12-09,3,3,0
2021-12-08,3,3,0
2021-12-07,3,3,0
2021-12-06,3,3,0
2021-12-05,3,3,0
2021-12-04,3,3,0
2021-12-03,3,3,0
2021-12-02,3,3,0
2021-12-01,3,3,0
2021-11-30,3,3,0
2021-11-29,3,3,0
2021-11-28,3,3,0
2021-11-27,3,3,0
2021-11-26,3,3,0
2021-11-25,3,3,0
2021-11-24,3,3,0
2021-11-23,3,3,0
2021-11-22,3,3,0
2021-11-21,3,3,0
2021-11-20,3,3,0
2021-11-19,3,3,0
2021-11-18,3,3,0
2021-11-17,3,3,0
2021-11-16,3,3,0
2021-11-15,3,3,0
2021-11-14,3,3,0
2021-11-13,3,3,0
2021-11-12,3,3,0
2021-11-11,3,3,0
2021-11-10,3,3,0
2021-11-09,3,3,0
2021-11-08,3,3,0
2021-11-07,3,3,0
2021-11-06,3,3,0
2021-11-05,3,3,0
2021-11-04,3,3,0
2021-11-03,3,3,0
2021-11-02,3,3,0
2021-11-01,3,3,0
2021-10-31,3,3,0
2021-10-30,3,3,0
2021-10-29,3,3,0
2021-10-28,3,3,0
2021-10-27,3,3,0
2021-10-26,3,3,0
2021-10-25,3,3,0
2021-10-24,3,3,0
2021-10-23,3,3,0
2021-10-22,3,3,0
2021-10-21,3,3,0
2021-10-20,3,3,0
2021-10-19,3,3,0
2021-10-18,3,3,0
2021-10-17,3,3,0
2021-10-16,3,3,0
2021-10-15,3,3,0
2021-10-14,3,3,0
2021-10-13,3,3,0
2021-10-12,3,3,0
2021-10-11,3,3,0
2021-10-10,3,3,0
2021-10-09,3,3,0
2021-10-08,3,3,0
2021-10-07,3,3,0
2021-10-06,3,3,0
2021-10-05,3,3,0
2021-10-04,3,3,0
2021-10-03,3,3,0
2021-10-02,3,3,0
2021-10-01,3,3,0
2021-09-30,3,3,0
2021-09-29,3,3,0
2021-09-28,3,3,0
2021-09-27,3,3,0
2021-09-26,3,3,0
2021-09-25,3,3,0
2021-09-24,3,3,0
2021-09-23,3,3,0
2021-09-22,3,3,0
2021-09-21,3,3,0
2021-09-20,3,3,0
2021-09-19,3,3,0
2021-09-18,3,3,0
2021-09-17,3,3,0
2021-09-16,3,3,0
2021-09-15,3,3,0
2021-09-14,3,3,0
2021-09-13,3,3,0
2021-09-12,3,3,0
2021-09-11,3,3,0
2021-09-08,0,0
